order-id;order-item-id;purchase-date;payments-date;buyer-email;buyer-name;cpf;buyer-phone-number;sku;upc;product-name;quantity-purchased;currency;item-price;ship-service-level;ship-address-1;ship-address-2;ship-address-3;ship-city;ship-state;ship-postal-code;ship-country
3254;1;2024-05-09;2024-05-10;bananajoe@example.com;Banana Joe;828.629.190-55;1234567890;SKU123;123456789012;Camisa branca social M;2;USD;19.99;Standard Shipping;123 Main St;;;California;CA;12345;USA
3254;2;2024-05-09;2024-05-10;bananajoe@example.com;Banana Joe;828.629.190-55;1234567890;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;1;USD;29.99;Standard Shipping;123 Main St;;;California;CA;12345;USA
3254;3;2024-05-09;2024-05-10;bananajoe@example.com;Banana Joe;828.629.190-55;1234567890;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;3;USD;9.99;Standard Shipping;123 Main St;;;California;CA;12345;USA
2208;1;2024-05-10;2024-05-11;janedoe@example.com;Jane Doe;757.734.210-62;987654321;SKU123;123456789012;Camisa branca social M;1;USD;19.99;Express Shipping;455 Elm St;;;New York;NY;54321;USA
2208;2;2024-05-10;2024-05-11;janedoe@example.com;Jane Doe;757.734.210-62;987654321;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;2;USD;29.99;Express Shipping;455 Elm St;;;New York;NY;54321;USA
1656;1;2024-05-11;2024-05-12;smith@example.com;Smith Johnson;005.490.320-37;4567890123;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;1;USD;9.99;Standard Shipping;790 Oak St;;;California;CA;67890;USA
1656;2;2024-05-11;2024-05-12;smith@example.com;Smith Johnson;005.490.320-37;4567890123;SKU123;123456789012;Camisa branca social M;2;USD;19.99;Standard Shipping;790 Oak St;;;California;CA;67890;USA
5526;1;2024-05-12;2024-05-13;janainacorrea@hotmail.com;Janaina Correa;516.941.990-29;1234567890;SKU123;123456789012;Camisa branca social M;3;USD;19.99;Express Shipping;Pinneaple Street;;;Texas;TX;75878;USA
5526;2;2024-05-12;2024-05-13;janainacorrea@hotmail.com;Janaina Correa;516.941.990-29;1234567890;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;1;USD;9.99;Express Shipping;Pinneaple Street;;;Texas;TX;75878;USA
5526;3;2024-05-12;2024-05-13;janainacorrea@hotmail.com;Janaina Correa;516.941.990-29;1234567890;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;2;USD;29.99;Express Shipping;Pinneaple Street;;;Texas;TX;75878;USA
4478;1;2024-05-13;2024-05-14;marcosalmeidajonas@gmail.com;Marcos Almeida Jonas;277.367.010-83;987654321;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;1;BRL;29.99;Standard Shipping;Avenida Eldorado 65;;;Campo Grande;GO;36554-788;BR
4478;2;2024-05-13;2024-05-14;marcosalmeidajonas@gmail.com;Marcos Almeida Jonas;277.367.010-83;987654321;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;2;BRL;9.99;Standard Shipping;Avenida Eldorado 65;;;Campo Grande;GO;36554-788;BR
4478;3;2024-05-13;2024-05-14;marcosalmeidajonas@gmail.com;Marcos Almeida Jonas;277.367.010-83;987654321;SKU123;123456789012;Camisa branca social M;1;BRL;19.99;Standard Shipping;Avenida Eldorado 65;;;Campo Grande;GO;36554-788;BR
